"locality","verbatimLocality","stationNumber","siteNumber","eventDate","verbatimCoordinateSystem","verbatimCoordinates","decimalLatidude","decimalLongitude","geodeticDatum","eventID","scientificName","organismQuantity"
"Setesdal_site8_plot_18","H18",18,"Browsed",2012,"UTM unknown sone","400607 6545099",5903375634980,726817197568,"WGS1441","77e7856e-347d-4132-b5e0-d5732fde6885","Alchemilla alpina",6.25
"Setesdal_site1_plot_13","A13",13,"Browsed",2000,"UTM unknown sone","386668 6544836",5902792473030,702559018698,"WGS96","505480c2-297b-4844-abf0-808b08a58c28","Agrostis cappilaris",68.75
"Setesdal_site1_plot_16","A16",16,"Browsed",2000,"UTM unknown sone","386657 6544840",5902795771300,702539662391,"WGS99","4a6be396-ff36-4cc1-9691-c5e11cc0530e","Agrostis cappilaris",62.5
"Setesdal_site1_plot_17","A17",17,"Browsed",2000,"UTM unknown sone","386661 6544839",5902794979900,702546677660,"WGS100","d73ff811-98cb-4768-b0f8-e56ebfa6e2a5","Agrostis cappilaris",62.5
"Setesdal_site1_plot_18","A18",18,"Browsed",2000,"UTM unknown sone","386660 6544834",5902790465730,702545194024,"WGS101","75f938ed-1305-4da1-a82e-92ae097c4426","Agrostis cappilaris",31.25
"Setesdal_site2_plot_1","B1",1,"Exclosure",2000,"UTM unknown sone","389962 6544671",5902730495540,708302122418,"WGS104","cd23aba0-828d-4b64-998d-30347a2c0191","Agrostis cappilaris",56.25
"Setesdal_site2_plot_2","B2",2,"Exclosure",2000,"UTM unknown sone","389966 6544677",5902735983920,708308786569,"WGS105","6ca5f840-18a6-4921-9287-de3fd0944ab9","Agrostis cappilaris",31.25
"Setesdal_site2_plot_5","B5",5,"Exclosure",2000,"UTM unknown sone","389964 6544684",5902742215310,708304954877,"WGS108","51a28ef6-0eb8-4c3b-ab45-dfde55979a7e","Agrostis cappilaris",56.25
"Setesdal_site2_plot_9","B9",9,"Exclosure",2000,"UTM unknown sone","389955 6544657",5902717749420,708290635083,"WGS112","735a7f76-8aec-4f02-9d5f-20965c72d44d","Agrostis cappilaris",12.5
"Setesdal_site2_plot_12","B12",12,"Browsed",2000,"UTM unknown sone","390008 6544609",5902676031540,708385303737,"WGS115","1de6787c-8297-4a78-8327-ebff5640a9d0","Agrostis cappilaris",18.75
"Setesdal_site2_plot_13","B13",13,"Browsed",2000,"UTM unknown sone","390015 6544604",5902671723960,708397740077,"WGS116","5d9fc2e4-7b36-4f8a-adf1-0902d10e405c","Agrostis cappilaris",50
"Setesdal_site2_plot_14","B14",14,"Browsed",2000,"UTM unknown sone","390019 6544610",5902677212290,708404404269,"WGS117","17adaaed-e2fb-46c2-b9cf-3a4662a6bbae","Agrostis cappilaris",31.25
"Setesdal_site2_plot_15","B15",15,"Browsed",2000,"UTM unknown sone","390015 6544618",5902684289780,708397040971,"WGS118","99ce910e-31da-4d1f-865d-9de14be07324","Agrostis cappilaris",25
"Setesdal_site2_plot_16","B16",16,"Browsed",2000,"UTM unknown sone","390013 6544627",5902692316320,708393109622,"WGS119","cea75650-09ec-440e-aa2f-541a53417c10","Agrostis cappilaris",56.25
"Setesdal_site2_plot_19","B19",19,"Browsed",2000,"UTM unknown sone","390015 6544611",5902678006870,708397390525,"WGS122","c578063a-552c-4176-8799-b29f5a2ab13d","Agrostis cappilaris",6.25
"Setesdal_site2_plot_20","B20",20,"Browsed",2000,"UTM unknown sone","390018 6544603",5902670903640,708403012860,"WGS123","e806261c-92f6-45ea-8111-59aeca30bb92","Agrostis cappilaris",75
"Setesdal_site3_plot_1","C1",1,"Exclosure",2000,"UTM unknown sone","392202 6542617",5900943978030,712302463693,"WGS124","12c9b7c4-dd00-4f65-878b-44ff4c49c0cf","Agrostis cappilaris",12.5
"Setesdal_site3_plot_2","C2",2,"Exclosure",2000,"UTM unknown sone","392213 6542628",5900954128790,712321067286,"WGS125","cb623638-7cea-4e39-b911-47f1b606063f","Agrostis cappilaris",50
"Setesdal_site3_plot_3","C3",3,"Exclosure",2000,"UTM unknown sone","392211 6542638",5900963054170,712317098226,"WGS126","fff9bd85-51f7-470e-8fc9-de280eef1e54","Agrostis cappilaris",75
"Setesdal_site3_plot_6","C6",6,"Exclosure",2000,"UTM unknown sone","392209 6542640",5900964798900,712313520209,"WGS129","d4c7b7f5-670e-4565-a17c-6d04df591009","Agrostis cappilaris",56.25
"Setesdal_site3_plot_7","C7",7,"Exclosure",2000,"UTM unknown sone","392204 6542627",5900953004270,712305455079,"WGS130","d89e442c-b15d-4541-9b33-12dc4f53b07b","Agrostis cappilaris",12.5
"Setesdal_site3_plot_8","C8",8,"Exclosure",2000,"UTM unknown sone","392206 6542647",5900971006330,712307957639,"WGS131","a711a98f-bd42-4659-92f3-e1d6e34e091d","Agrostis cappilaris",12.5
"Setesdal_site3_plot_9","C9",9,"Exclosure",2000,"UTM unknown sone","392209 6542608",5900936076310,712315084444,"WGS132","2dd6b035-436f-4887-93db-20f73ebb3202","Agrostis cappilaris",81.25
"Setesdal_site3_plot_10","C10",10,"Exclosure",2000,"UTM unknown sone","392211 6542612",5900939717060,712318369144,"WGS133","bfa34646-7515-4b9c-a280-94f0a19dff37","Agrostis cappilaris",62.5
"Setesdal_site3_plot_12","C12",12,"Browsed",2000,"UTM unknown sone","392203 6542531",5900866811260,712308407795,"WGS135","be9a6b12-8de8-47f5-872f-4e45cbad575c","Agrostis cappilaris",6.25
"Setesdal_site3_plot_13","C13",13,"Browsed",2000,"UTM unknown sone","392205 6542516",5900853397970,712312621167,"WGS136","cbafa623-f8de-411c-8d53-be4d0a5813d5","Agrostis cappilaris",56.25
"Setesdal_site3_plot_15","C15",15,"Browsed",2000,"UTM unknown sone","392216 6542514",5900851880150,712331859695,"WGS138","afb8ea6c-0a21-4972-bb13-4d167c2f3846","Agrostis cappilaris",31.25
"Setesdal_site3_plot_17","C17",17,"Browsed",2000,"UTM unknown sone","392213 6542535",5900870653720,712325613057,"WGS140","20df7f5c-5596-4fc7-996a-59b6ee1011ca","Agrostis cappilaris",50
"Setesdal_site3_plot_20","C20",20,"Browsed",2000,"UTM unknown sone","392211 6542528",5900864320230,712322475049,"WGS143","2a2c431e-e40b-4eee-9d6c-382f1857f584","Agrostis cappilaris",50
"Setesdal_site5_plot_1","E1",1,"Exclosure",2000,"UTM unknown sone","392756 6549567",5907196098850,712927758633,"WGS164","710691f5-6156-4fa9-9f25-36979383e47b","Agrostis cappilaris",50
"Setesdal_site5_plot_6","E6",6,"Exclosure",2000,"UTM unknown sone","392765 6549558",5907188246990,712943887747,"WGS169","4737974e-1b12-48ed-8334-615f66c25c91","Agrostis cappilaris",62.5
"Setesdal_site5_plot_13","E13",13,"Browsed",2000,"UTM unknown sone","392817 6549559",5907190451840,713034489581,"WGS176","7bd40bd6-77ea-42fe-bacb-026158e87114","Agrostis cappilaris",6.25
"Setesdal_site8_plot_2","H2",2,"Exclosure",2000,"UTM unknown sone","400567 6545094",5903370215660,726747764089,"WGS225","c8cef5f0-0b7d-4e8f-9657-e71ea0ceda66","Agrostis cappilaris",6.25
"Setesdal_site1_plot_13","A13",13,"Browsed",2002,"UTM unknown sone","386668 6544836",5902792473030,702559018698,"WGS296","f60d4c9e-6340-42dd-adaf-67554334329a","Agrostis cappilaris",68.75
"Setesdal_site1_plot_16","A16",16,"Browsed",2002,"UTM unknown sone","386657 6544840",5902795771300,702539662391,"WGS299","9525ac37-2f71-407d-9360-dfbf152de042","Agrostis cappilaris",56.25
"Setesdal_site1_plot_17","A17",17,"Browsed",2002,"UTM unknown sone","386661 6544839",5902794979900,702546677660,"WGS300","455c567f-8103-464b-96de-ad4d6d99df8b","Agrostis cappilaris",50
"Setesdal_site2_plot_2","B2",2,"Exclosure",2002,"UTM unknown sone","389966 6544677",5902735983920,708308786569,"WGS305","1f9cfd13-c6c6-4096-a79b-d3f1e52b4c33","Agrostis cappilaris",12.5
"Setesdal_site2_plot_3","B3",3,"Exclosure",2002,"UTM unknown sone","389967 6544687",5902744985260,708310027949,"WGS306","68ff36ed-aed8-49aa-830c-89cc96db8912","Agrostis cappilaris",6.25
"Setesdal_site2_plot_5","B5",5,"Exclosure",2002,"UTM unknown sone","389964 6544684",5902742215310,708304954877,"WGS308","236ba0e4-33b0-404e-8325-6baad35dccca","Agrostis cappilaris",31.25
"Setesdal_site2_plot_9","B9",9,"Exclosure",2002,"UTM unknown sone","389955 6544657",5902717749420,708290635083,"WGS312","9d977a05-4946-4643-9004-89b9d81b0c5f","Agrostis cappilaris",18.75
"Setesdal_site2_plot_11","B11",11,"Browsed",2002,"UTM unknown sone","390002 6544606",5902673184380,708375007855,"WGS314","6f39828b-ea55-41f9-ad76-6c53fd5c15cd","Agrostis cappilaris",43.75
"Setesdal_site2_plot_12","B12",12,"Browsed",2002,"UTM unknown sone","390008 6544609",5902676031540,708385303737,"WGS315","f903780a-17ba-4753-9a9b-3c9d87e80828","Agrostis cappilaris",50
"Setesdal_site2_plot_13","B13",13,"Browsed",2002,"UTM unknown sone","390015 6544604",5902671723960,708397740077,"WGS316","38d87fdc-f5a0-4c14-b4e2-4f0413fda25d","Agrostis cappilaris",81.25
"Setesdal_site2_plot_14","B14",14,"Browsed",2002,"UTM unknown sone","390019 6544610",5902677212290,708404404269,"WGS317","eb6460cd-8540-401b-9e23-272685924815","Agrostis cappilaris",25
"Setesdal_site2_plot_15","B15",15,"Browsed",2002,"UTM unknown sone","390015 6544618",5902684289780,708397040971,"WGS318","b27898cc-3d05-4d96-b4d5-5a9f21c34a7a","Agrostis cappilaris",25
"Setesdal_site2_plot_16","B16",16,"Browsed",2002,"UTM unknown sone","390013 6544627",5902692316320,708393109622,"WGS319","01890fdd-5d26-40f0-a8d1-9a3514ee3a91","Agrostis cappilaris",50
"Setesdal_site2_plot_20","B20",20,"Browsed",2002,"UTM unknown sone","390018 6544603",5902670903640,708403012860,"WGS323","534e6ab6-85fe-4d22-bc40-5e20e6b656e8","Agrostis cappilaris",81.25
"Setesdal_site3_plot_1","C1",1,"Exclosure",2002,"UTM unknown sone","392202 6542617",5900943978030,712302463693,"WGS324","3a7a071f-8177-4803-8a99-a28ec37b66f6","Agrostis cappilaris",25
"Setesdal_site3_plot_2","C2",2,"Exclosure",2002,"UTM unknown sone","392213 6542628",5900954128790,712321067286,"WGS325","e2beb58a-0c76-4991-a496-a439ac607e90","Agrostis cappilaris",50
"Setesdal_site3_plot_3","C3",3,"Exclosure",2002,"UTM unknown sone","392211 6542638",5900963054170,712317098226,"WGS326","fecaeb58-353f-461d-a8f9-c890a20c5949","Agrostis cappilaris",81.25
"Setesdal_site3_plot_6","C6",6,"Exclosure",2002,"UTM unknown sone","392209 6542640",5900964798900,712313520209,"WGS329","0c6d6c91-4c2d-4ed2-aede-fddd19ed1153","Agrostis cappilaris",62.5
"Setesdal_site3_plot_7","C7",7,"Exclosure",2002,"UTM unknown sone","392204 6542627",5900953004270,712305455079,"WGS330","cfc3eaa3-58df-498b-a91b-968d054450ee","Agrostis cappilaris",12.5
"Setesdal_site3_plot_8","C8",8,"Exclosure",2002,"UTM unknown sone","392206 6542647",5900971006330,712307957639,"WGS331","a005ded4-ffff-4ca4-979a-2f59b40b363a","Agrostis cappilaris",6.25
"Setesdal_site3_plot_9","C9",9,"Exclosure",2002,"UTM unknown sone","392209 6542608",5900936076310,712315084444,"WGS332","aaa04992-2dfa-49bc-b969-2a73e819e94d","Agrostis cappilaris",81.25
"Setesdal_site3_plot_10","C10",10,"Exclosure",2002,"UTM unknown sone","392211 6542612",5900939717060,712318369144,"WGS333","90c30062-51bf-473e-96bc-65b7c0555027","Agrostis cappilaris",68.75
"Setesdal_site3_plot_13","C13",13,"Browsed",2002,"UTM unknown sone","392205 6542516",5900853397970,712312621167,"WGS336","b886c92d-1393-407f-9999-2ed9344336c0","Agrostis cappilaris",75
"Setesdal_site3_plot_15","C15",15,"Browsed",2002,"UTM unknown sone","392216 6542514",5900851880150,712331859695,"WGS338","4f298120-500f-44a5-b356-015084a1b0b3","Agrostis cappilaris",50
"Setesdal_site3_plot_17","C17",17,"Browsed",2002,"UTM unknown sone","392213 6542535",5900870653720,712325613057,"WGS340","71c7c82c-30dd-4072-a5da-64470a7c47eb","Agrostis cappilaris",62.5
"Setesdal_site3_plot_19","C19",19,"Browsed",2002,"UTM unknown sone","392210 6542522",5900858909530,712321028247,"WGS342","3e303141-ea3c-4a23-9432-79600c6d2e62","Agrostis cappilaris",31.25
"Setesdal_site3_plot_20","C20",20,"Browsed",2002,"UTM unknown sone","392211 6542528",5900864320230,712322475049,"WGS343","cdd53e8e-d216-4b75-bdad-b8c25b318500","Agrostis cappilaris",37.5
"Setesdal_site5_plot_1","E1",1,"Exclosure",2002,"UTM unknown sone","392756 6549567",5907196098850,712927758633,"WGS364","c3e2e96e-0b6f-4681-8e5c-b51ebbc1513e","Agrostis cappilaris",56.25
"Setesdal_site5_plot_6","E6",6,"Exclosure",2002,"UTM unknown sone","392765 6549558",5907188246990,712943887747,"WGS369","f521f70c-ff9e-45b9-853a-f065be0201de","Agrostis cappilaris",50
"Setesdal_site5_plot_14","E14",14,"Browsed",2002,"UTM unknown sone","392805 6549553",5907184764760,713013863111,"WGS377","fd32f4d0-3f71-43e0-8bf0-2c5291663c72","Agrostis cappilaris",6.25
"Setesdal_site1_plot_12","A12",12,"Browsed",2004,"UTM unknown sone","386665 6544811",5902769955250,702555082360,"WGS495","80450979-b9cd-4dd5-b461-427cdd219420","Agrostis cappilaris",12.5
"Setesdal_site1_plot_13","A13",13,"Browsed",2004,"UTM unknown sone","386668 6544836",5902792473030,702559018698,"WGS496","c68cbcfe-4d41-4612-b77c-a61a37e52849","Agrostis cappilaris",87.5
"Setesdal_site1_plot_16","A16",16,"Browsed",2004,"UTM unknown sone","386657 6544840",5902795771300,702539662391,"WGS499","7e24d961-4882-4d10-806c-5f4e24536784","Agrostis cappilaris",56.25
"Setesdal_site1_plot_17","A17",17,"Browsed",2004,"UTM unknown sone","386661 6544839",5902794979900,702546677660,"WGS500","e2c06a82-4af2-49ac-9474-351b1a5521a8","Agrostis cappilaris",93.75
"Setesdal_site1_plot_18","A18",18,"Browsed",2004,"UTM unknown sone","386660 6544834",5902790465730,702545194024,"WGS501","340a1250-98e0-4ea4-8348-61eb12faab2c","Agrostis cappilaris",18.75
"Setesdal_site2_plot_1","B1",1,"Exclosure",2004,"UTM unknown sone","389962 6544671",5902730495540,708302122418,"WGS504","1e956b4c-e7fa-4299-90e5-6bf77e380e71","Agrostis cappilaris",18.75
"Setesdal_site2_plot_2","B2",2,"Exclosure",2004,"UTM unknown sone","389966 6544677",5902735983920,708308786569,"WGS505","6b050d2d-0ab2-4caa-8a30-37193d746833","Agrostis cappilaris",6.25
"Setesdal_site2_plot_5","B5",5,"Exclosure",2004,"UTM unknown sone","389964 6544684",5902742215310,708304954877,"WGS508","f9c47a0a-11b0-40b4-b83e-3c94e4747378","Agrostis cappilaris",62.5
"Setesdal_site2_plot_7","B7",7,"Exclosure",2004,"UTM unknown sone","389964 6544669",5902728751940,708305704297,"WGS510","575c693f-6c5e-482b-9082-09e7c4401d8e","Agrostis cappilaris",6.25
"Setesdal_site2_plot_9","B9",9,"Exclosure",2004,"UTM unknown sone","389955 6544657",5902717749420,708290635083,"WGS512","d01452ac-992e-443d-a2c5-2b648a960e82","Agrostis cappilaris",6.25
"Setesdal_site2_plot_12","B12",12,"Browsed",2004,"UTM unknown sone","390008 6544609",5902676031540,708385303737,"WGS515","e306ae4a-2df2-4f83-a909-57acab901d5e","Agrostis cappilaris",25
"Setesdal_site2_plot_13","B13",13,"Browsed",2004,"UTM unknown sone","390015 6544604",5902671723960,708397740077,"WGS516","dfbea1b7-8a2f-4acc-8d7a-47be2e45e2a7","Agrostis cappilaris",31.25
"Setesdal_site2_plot_14","B14",14,"Browsed",2004,"UTM unknown sone","390019 6544610",5902677212290,708404404269,"WGS517","9c18b9a5-8266-4625-8f95-25c2c541cdce","Agrostis cappilaris",56.25
"Setesdal_site2_plot_15","B15",15,"Browsed",2004,"UTM unknown sone","390015 6544618",5902684289780,708397040971,"WGS518","0384e58d-ba96-4e69-a59a-64d74cafe253","Agrostis cappilaris",31.25
"Setesdal_site2_plot_16","B16",16,"Browsed",2004,"UTM unknown sone","390013 6544627",5902692316320,708393109622,"WGS519","16ad003f-4b19-4405-981e-5c7d62b84d55","Agrostis cappilaris",31.25
"Setesdal_site2_plot_19","B19",19,"Browsed",2004,"UTM unknown sone","390015 6544611",5902678006870,708397390525,"WGS522","574bab1a-b0c8-4a22-8a0f-14909c195507","Agrostis cappilaris",18.75
"Setesdal_site2_plot_20","B20",20,"Browsed",2004,"UTM unknown sone","390018 6544603",5902670903640,708403012860,"WGS523","bb478b95-ff52-42e6-8bd5-a7e483d603a4","Agrostis cappilaris",62.5
"Setesdal_site3_plot_1","C1",1,"Exclosure",2004,"UTM unknown sone","392202 6542617",5900943978030,712302463693,"WGS524","64f0b817-316b-46e2-833e-77fa0b8db09e","Agrostis cappilaris",31.25
"Setesdal_site3_plot_2","C2",2,"Exclosure",2004,"UTM unknown sone","392213 6542628",5900954128790,712321067286,"WGS525","db1708da-ad71-4839-9d87-7e1c3ce1e069","Agrostis cappilaris",25
"Setesdal_site3_plot_3","C3",3,"Exclosure",2004,"UTM unknown sone","392211 6542638",5900963054170,712317098226,"WGS526","4c743a23-5d0a-46f8-be16-f8e6900939e4","Agrostis cappilaris",68.75
"Setesdal_site3_plot_4","C4",4,"Exclosure",2004,"UTM unknown sone","392211 6542634",5900959463850,712317293753,"WGS527","2fe019c3-e821-4ba8-ab7a-5b550af71455","Agrostis cappilaris",6.25
"Setesdal_site3_plot_5","C5",5,"Exclosure",2004,"UTM unknown sone","392203 6542617",5900944003250,712304203809,"WGS528","34fb3f03-bdcb-4cc5-a304-4cda6f6925e5","Agrostis cappilaris",6.25
"Setesdal_site3_plot_6","C6",6,"Exclosure",2004,"UTM unknown sone","392209 6542640",5900964798900,712313520209,"WGS529","082c358e-a087-467d-b064-f61914ee5eed","Agrostis cappilaris",6.25
"Setesdal_site3_plot_7","C7",7,"Exclosure",2004,"UTM unknown sone","392204 6542627",5900953004270,712305455079,"WGS530","a44b450c-ac5b-416d-a7a0-e848b0025a69","Agrostis cappilaris",12.5
"Setesdal_site3_plot_8","C8",8,"Exclosure",2004,"UTM unknown sone","392206 6542647",5900971006330,712307957639,"WGS531","1e02732f-24a0-413e-9424-1a2009a690a5","Agrostis cappilaris",25
"Setesdal_site3_plot_9","C9",9,"Exclosure",2004,"UTM unknown sone","392209 6542608",5900936076310,712315084444,"WGS532","83726969-5c19-4a70-87d9-edeb9d87a4bb","Agrostis cappilaris",68.75
"Setesdal_site3_plot_10","C10",10,"Exclosure",2004,"UTM unknown sone","392211 6542612",5900939717060,712318369144,"WGS533","b1439034-9e8f-4697-b333-55c4c4b30f24","Agrostis cappilaris",75
"Setesdal_site3_plot_13","C13",13,"Browsed",2004,"UTM unknown sone","392205 6542516",5900853397970,712312621167,"WGS536","8679b43d-42c2-4d8e-b566-4cbca821cc27","Agrostis cappilaris",75
"Setesdal_site3_plot_15","C15",15,"Browsed",2004,"UTM unknown sone","392216 6542514",5900851880150,712331859695,"WGS538","eb9ddde0-19f5-485d-80c3-8d08503b9800","Agrostis cappilaris",37.5
"Setesdal_site3_plot_17","C17",17,"Browsed",2004,"UTM unknown sone","392213 6542535",5900870653720,712325613057,"WGS540","e446bae0-276a-4fed-af8e-7af7a7a402ed","Agrostis cappilaris",37.5
"Setesdal_site3_plot_19","C19",19,"Browsed",2004,"UTM unknown sone","392210 6542522",5900858909530,712321028247,"WGS542","cfd1a5f0-f73f-4850-9955-04b8eab0df7b","Agrostis cappilaris",18.75
"Setesdal_site3_plot_20","C20",20,"Browsed",2004,"UTM unknown sone","392211 6542528",5900864320230,712322475049,"WGS543","08c452a8-4e9e-4b2b-8a5d-681e084cb04c","Agrostis cappilaris",50
"Setesdal_site5_plot_1","E1",1,"Exclosure",2004,"UTM unknown sone","392756 6549567",5907196098850,712927758633,"WGS564","a5da289b-1832-43cd-95ab-4f2627b3a707","Agrostis cappilaris",31.25
"Setesdal_site5_plot_6","E6",6,"Exclosure",2004,"UTM unknown sone","392765 6549558",5907188246990,712943887747,"WGS569","49004933-eba5-4974-bc8e-bc00af138599","Agrostis cappilaris",31.25
"Setesdal_site5_plot_13","E13",13,"Browsed",2004,"UTM unknown sone","392817 6549559",5907190451840,713034489581,"WGS576","49aeff90-cd69-442f-a757-3d2eae661836","Agrostis cappilaris",31.25
"Setesdal_site1_plot_12","A12",12,"Browsed",2006,"UTM unknown sone","386665 6544811",5902769955250,702555082360,"WGS695","e78aa9a8-5b97-48f1-b235-ecfe44fce3e1","Agrostis cappilaris",12.5
"Setesdal_site1_plot_13","A13",13,"Browsed",2006,"UTM unknown sone","386668 6544836",5902792473030,702559018698,"WGS696","f7235a74-0baf-4f61-b524-357dc5b28e69","Agrostis cappilaris",87.5
"Setesdal_site1_plot_16","A16",16,"Browsed",2006,"UTM unknown sone","386657 6544840",5902795771300,702539662391,"WGS699","2582d07b-f82d-4fa7-b871-c8325c8dd862","Agrostis cappilaris",43.75
"Setesdal_site1_plot_17","A17",17,"Browsed",2006,"UTM unknown sone","386661 6544839",5902794979900,702546677660,"WGS700","43bc11fc-dd12-484e-9143-25c92ad07859","Agrostis cappilaris",75
"Setesdal_site1_plot_18","A18",18,"Browsed",2006,"UTM unknown sone","386660 6544834",5902790465730,702545194024,"WGS701","ea09787b-012d-4456-a57c-9331faf0cc24","Agrostis cappilaris",37.5
"Setesdal_site2_plot_1","B1",1,"Exclosure",2006,"UTM unknown sone","389962 6544671",5902730495540,708302122418,"WGS704","3ff258f8-bd7f-4b5e-8de1-54099974fa88","Agrostis cappilaris",18.75
"Setesdal_site2_plot_2","B2",2,"Exclosure",2006,"UTM unknown sone","389966 6544677",5902735983920,708308786569,"WGS705","fb9abb40-364e-4158-8999-b0b4ab61373a","Agrostis cappilaris",6.25
"Setesdal_site2_plot_5","B5",5,"Exclosure",2006,"UTM unknown sone","389964 6544684",5902742215310,708304954877,"WGS708","438def70-996a-4ee2-b7c8-b99011e23114","Agrostis cappilaris",31.25
"Setesdal_site2_plot_7","B7",7,"Exclosure",2006,"UTM unknown sone","389964 6544669",5902728751940,708305704297,"WGS710","1c40d4ba-2203-4186-9cd9-2bb5b800096b","Agrostis cappilaris",6.25
"Setesdal_site2_plot_9","B9",9,"Exclosure",2006,"UTM unknown sone","389955 6544657",5902717749420,708290635083,"WGS712","026dc12f-910e-448b-89f3-39c6c5c93d9e","Agrostis cappilaris",6.25
"Setesdal_site2_plot_11","B11",11,"Browsed",2006,"UTM unknown sone","390002 6544606",5902673184380,708375007855,"WGS714","b6ed8950-c8a9-4642-b200-9993d28df31b","Agrostis cappilaris",18.75
"Setesdal_site2_plot_12","B12",12,"Browsed",2006,"UTM unknown sone","390008 6544609",5902676031540,708385303737,"WGS715","758a40c8-8ca6-4d66-b4e5-06f3dd6a1039","Agrostis cappilaris",43.75
"Setesdal_site2_plot_13","B13",13,"Browsed",2006,"UTM unknown sone","390015 6544604",5902671723960,708397740077,"WGS716","c2b9e491-a902-4918-bd2e-c8917afa9481","Agrostis cappilaris",37.5
"Setesdal_site2_plot_14","B14",14,"Browsed",2006,"UTM unknown sone","390019 6544610",5902677212290,708404404269,"WGS717","c81423c4-9029-47b7-8519-f5d45109d072","Agrostis cappilaris",31.25
"Setesdal_site2_plot_15","B15",15,"Browsed",2006,"UTM unknown sone","390015 6544618",5902684289780,708397040971,"WGS718","c24ab392-efa2-40f7-ac1a-8cba1bf2ffd2","Agrostis cappilaris",37.5
"Setesdal_site2_plot_16","B16",16,"Browsed",2006,"UTM unknown sone","390013 6544627",5902692316320,708393109622,"WGS719","2531d916-132c-4807-95d7-7bba5f6484e0","Agrostis cappilaris",25
"Setesdal_site2_plot_19","B19",19,"Browsed",2006,"UTM unknown sone","390015 6544611",5902678006870,708397390525,"WGS722","dba403aa-b5af-49d6-84b0-dc82df9fef04","Agrostis cappilaris",6.25
"Setesdal_site2_plot_20","B20",20,"Browsed",2006,"UTM unknown sone","390018 6544603",5902670903640,708403012860,"WGS723","f53b4156-abeb-430c-aa82-3a3273d36348","Agrostis cappilaris",93.75
"Setesdal_site3_plot_1","C1",1,"Exclosure",2006,"UTM unknown sone","392202 6542617",5900943978030,712302463693,"WGS724","59d7e41e-ff22-4e63-9fa5-e0fa7fb3f5ea","Agrostis cappilaris",12.5
"Setesdal_site3_plot_2","C2",2,"Exclosure",2006,"UTM unknown sone","392213 6542628",5900954128790,712321067286,"WGS725","e76cf476-6276-4946-8971-5c3a8721de67","Agrostis cappilaris",43.75
"Setesdal_site3_plot_3","C3",3,"Exclosure",2006,"UTM unknown sone","392211 6542638",5900963054170,712317098226,"WGS726","5dddf091-20a0-474e-9edc-3f07dd8c3eed","Agrostis cappilaris",31.25
"Setesdal_site3_plot_4","C4",4,"Exclosure",2006,"UTM unknown sone","392211 6542634",5900959463850,712317293753,"WGS727","12236af9-3952-4f50-ba36-683d3255ad75","Agrostis cappilaris",6.25
"Setesdal_site3_plot_5","C5",5,"Exclosure",2006,"UTM unknown sone","392203 6542617",5900944003250,712304203809,"WGS728","68c5b2c9-23e7-441f-b64e-cf99f16f636c","Agrostis cappilaris",18.75
"Setesdal_site3_plot_6","C6",6,"Exclosure",2006,"UTM unknown sone","392209 6542640",5900964798900,712313520209,"WGS729","9b8436e1-46f8-4402-b23b-8e1e0bd435aa","Agrostis cappilaris",6.25
"Setesdal_site3_plot_7","C7",7,"Exclosure",2006,"UTM unknown sone","392204 6542627",5900953004270,712305455079,"WGS730","8666a678-6e93-4593-ad66-e43e4b3018c9","Agrostis cappilaris",6.25
"Setesdal_site3_plot_8","C8",8,"Exclosure",2006,"UTM unknown sone","392206 6542647",5900971006330,712307957639,"WGS731","8565e891-d663-43f6-bfb1-a17aa1f028b2","Agrostis cappilaris",43.75
"Setesdal_site3_plot_9","C9",9,"Exclosure",2006,"UTM unknown sone","392209 6542608",5900936076310,712315084444,"WGS732","9d2dbe02-0105-4c6f-87dd-d38a29b8e3ca","Agrostis cappilaris",68.75
"Setesdal_site3_plot_10","C10",10,"Exclosure",2006,"UTM unknown sone","392211 6542612",5900939717060,712318369144,"WGS733","88034f22-026d-44c3-85e2-d28143e1d2f1","Agrostis cappilaris",50
"Setesdal_site3_plot_13","C13",13,"Browsed",2006,"UTM unknown sone","392205 6542516",5900853397970,712312621167,"WGS736","2c85376e-0c63-47fc-9078-b0cf352f7e76","Agrostis cappilaris",81.25
"Setesdal_site3_plot_15","C15",15,"Browsed",2006,"UTM unknown sone","392216 6542514",5900851880150,712331859695,"WGS738","9a9b4232-b58f-4c07-b93d-41d92855f738","Agrostis cappilaris",68.75
"Setesdal_site3_plot_17","C17",17,"Browsed",2006,"UTM unknown sone","392213 6542535",5900870653720,712325613057,"WGS740","6c484e8f-6dd5-4f45-9003-f62ef860dd6a","Agrostis cappilaris",56.25
"Setesdal_site3_plot_19","C19",19,"Browsed",2006,"UTM unknown sone","392210 6542522",5900858909530,712321028247,"WGS742","4179bac6-0b52-4f07-a8e2-be309c891362","Agrostis cappilaris",25
"Setesdal_site3_plot_20","C20",20,"Browsed",2006,"UTM unknown sone","392211 6542528",5900864320230,712322475049,"WGS743","f41a18ee-3f33-4c71-be51-aa9175dac156","Agrostis cappilaris",87.5
"Setesdal_site5_plot_6","E6",6,"Exclosure",2006,"UTM unknown sone","392765 6549558",5907188246990,712943887747,"WGS769","e733a02d-1fb4-4092-8b0f-f46c6334664b","Agrostis cappilaris",43.75
